ritz_wl_vac,element,sp_num,obs_wl_vac,unc_obs_wl,unc_ritz_wl,intens,Aki,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 22
12.13,Fe,17,12.123,0.005,0.006,,8000000000000.0,D,0.0,1022.7,2s2.2p6,1S,0,2s2.2p5.4d,1P*,1,1,3,,T2774,L5090,
13.45,Ne,9,,,0.01,,8850000000000.0,AA,0.0,922.0159,1s2,1S,0,1s.2p,1P*,1,1,3,,T7543,,
13.55,Ne,9,,,0.01,,5250000000.0,AA,0.0,914.8174,1s2,1S,0,1s.2p,3P*,1,1,3,,T7543,,
13.699,Ne,9,,,0.01,,,,0.0,905.0772,1s2,1S,0,1s.2s,3S,1,1,3,M1,,,
16.0,Fe,18,16.005,0.01,0.008,70,,,0.0,774.7,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,3/2,4,4,,,L5090,
17.06,Fe,17,17.054000000000002,0.005,0.009000000000000001,,933000000000.0,C+,0.0,727.139,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).3s,"(3/2,1/2)*",1,1,3,,T3713,L5090,
18.63,O,7,,,0.001,,936500000000.0,AA,0.0,665.61537,1s2,1S,0,1s.3p,1P*,1,1,3,,T5997,,
18.97,O,8,,,0.001,,2566000000000.0,AA,0.0,653.493663,1s,2S,1/2,2p,2P*,1/2,2,2,,T6492extrap,,
21.61,O,7,,,0.001,,3309000000000.0,AA,0.0,573.94778,1s2,1S,0,1s.2p,1P*,1,1,3,,T5997,,
21.8,O,7,,,0.001,,331000.0,A,0.0,568.62005,1s2,1S,0,1s.2p,3P*,2,1,5,M2,T1494,,
22.1,O,7,,,0.001,,1040.0,AA,0.0,560.98386,1s2,1S,0,1s.2s,3S,1,1,3,M1,T1896,,
24.78,N,7,,,0.001,,1505000000000.0,AA,0.0,500.355853,1s,2S,1/2,2p,2P*,3/2,2,4,,"T6492,T8146,LS",,
28.79,N,6,,,0.001,,1809000000000.0,AA,0.0,430.695,1s2,1S,0,1s.2p,1P*,1,1,3,,T5997,,
29.1,N,6,,,0.001,,,,0.0,426.297,1s2,1S,0,1s.2p,3P*,1,1,3,,,,
29.53,N,6,,,0.001,,255.0,A+,0.0,419.797,1s2,1S,0,1s.2s,3S,1,1,3,M1,"T1896,T6117",,
33.74,C,6,,,0.001,,811800000000.0,AA,0.0,367.4740438,1s,2S,1/2,2p,2P*,1/2,2,2,,T6492extrap,,
